Fecha,CVEGEO,MUNICIPIO,DECESOS,NUEVOS
28/05/2020,26017,Caborca,10,1
29/05/2020,26017,Caborca,10,0
30/05/2020,26017,Caborca,10,0
31/05/2020,26017,Caborca,10,0
01/06/2020,26017,Caborca,10,0
02/06/2020,26017,Caborca,10,0
03/06/2020,26017,Caborca,11,1
04/06/2020,26017,Caborca,11,0
05/06/2020,26017,Caborca,11,0
06/06/2020,26017,Caborca,11,0
07/06/2020,26017,Caborca,12,1
08/06/2020,26017,Caborca,12,0
09/06/2020,26017,Caborca,12,0
10/06/2020,26017,Caborca,13,1
11/06/2020,26017,Caborca,12,0
12/06/2020,26017,Caborca,12,0
13/06/2020,26017,Caborca,13,1
14/06/2020,26017,Caborca,13,0
15/06/2020,26017,Caborca,13,0
16/06/2020,26017,Caborca,13,0
17/06/2020,26017,Caborca,15,2
18/06/2020,26017,Caborca,16,1
19/06/2020,26017,Caborca,16,0
20/06/2020,26017,Caborca,17,1
21/06/2020,26017,Caborca,18,1
22/06/2020,26017,Caborca,20,2
23/06/2020,26017,Caborca,21,1
24/06/2020,26017,Caborca,21,0
25/06/2020,26017,Caborca,23,2
26/06/2020,26017,Caborca,23,0
27/06/2020,26017,Caborca,23,0
28/06/2020,26017,Caborca,23,0
29/06/2020,26017,Caborca,23,0
04/04/2020,26018,Cajeme,0,0
05/04/2020,26018,Cajeme,0,0
06/04/2020,26018,Cajeme,0,0
07/04/2020,26018,Cajeme,0,0
08/04/2020,26018,Cajeme,0,0
09/04/2020,26018,Cajeme,1,1
10/04/2020,26018,Cajeme,1,0
11/04/2020,26018,Cajeme,1,0
12/04/2020,26018,Cajeme,1,0
13/04/2020,26018,Cajeme,1,0
14/04/2020,26018,Cajeme,1,0
15/04/2020,26018,Cajeme,1,0
16/04/2020,26018,Cajeme,1,0
17/04/2020,26018,Cajeme,1,0
18/04/2020,26018,Cajeme,1,0
19/04/2020,26018,Cajeme,1,0
20/04/2020,26018,Cajeme,1,0
21/04/2020,26018,Cajeme,1,0
22/04/2020,26018,Cajeme,1,0
23/04/2020,26018,Cajeme,1,0
24/04/2020,26018,Cajeme,1,0
25/04/2020,26018,Cajeme,1,0
26/04/2020,26018,Cajeme,1,0
27/04/2020,26018,Cajeme,1,0
28/04/2020,26018,Cajeme,1,0
29/04/2020,26018,Cajeme,1,0
30/04/2020,26018,Cajeme,2,1
01/05/2020,26018,Cajeme,2,0
02/05/2020,26018,Cajeme,2,0
03/05/2020,26018,Cajeme,2,0
04/05/2020,26018,Cajeme,2,0
05/05/2020,26018,Cajeme,2,0
06/05/2020,26018,Cajeme,2,0
07/05/2020,26018,Cajeme,2,0
08/05/2020,26018,Cajeme,2,0
09/05/2020,26018,Cajeme,3,1
10/05/2020,26018,Cajeme,3,0
11/05/2020,26018,Cajeme,5,2
12/05/2020,26018,Cajeme,5,0
13/05/2020,26018,Cajeme,6,1
14/05/2020,26018,Cajeme,7,1
15/05/2020,26018,Cajeme,7,0
16/05/2020,26018,Cajeme,7,0
17/05/2020,26018,Cajeme,7,0
18/05/2020,26018,Cajeme,7,0
19/05/2020,26018,Cajeme,9,2
20/05/2020,26018,Cajeme,10,1
21/05/2020,26018,Cajeme,13,3
22/05/2020,26018,Cajeme,14,1
23/05/2020,26018,Cajeme,18,4
24/05/2020,26018,Cajeme,22,4
25/05/2020,26018,Cajeme,23,1
26/05/2020,26018,Cajeme,26,3
27/05/2020,26018,Cajeme,28,2
28/05/2020,26018,Cajeme,30,2
29/05/2020,26018,Cajeme,33,3
30/05/2020,26018,Cajeme,35,2
31/05/2020,26018,Cajeme,40,5
01/06/2020,26018,Cajeme,41,1
02/06/2020,26018,Cajeme,43,2
03/06/2020,26018,Cajeme,47,4
04/06/2020,26018,Cajeme,52,5
05/06/2020,26018,Cajeme,54,2
06/06/2020,26018,Cajeme,54,0
07/06/2020,26018,Cajeme,54,0
