Fecha,CVEGEO,MUNICIPIO,CASOS,NUEVOS
09/05/2020,26003,Álamos,0,0
10/05/2020,26003,Álamos,0,0
11/05/2020,26003,Álamos,0,0
12/05/2020,26003,Álamos,0,0
13/05/2020,26003,Álamos,0,0
14/05/2020,26003,Álamos,0,0
15/05/2020,26003,Álamos,0,0
16/05/2020,26003,Álamos,0,0
17/05/2020,26003,Álamos,0,0
18/05/2020,26003,Álamos,0,0
19/05/2020,26003,Álamos,0,0
20/05/2020,26003,Álamos,0,0
21/05/2020,26003,Álamos,0,0
22/05/2020,26003,Álamos,0,0
23/05/2020,26003,Álamos,0,0
24/05/2020,26003,Álamos,0,0
25/05/2020,26003,Álamos,0,0
26/05/2020,26003,Álamos,1,1
27/05/2020,26003,Álamos,1,0
28/05/2020,26003,Álamos,1,0
29/05/2020,26003,Álamos,1,0
30/05/2020,26003,Álamos,1,0
31/05/2020,26003,Álamos,1,0
01/06/2020,26003,Álamos,1,0
02/06/2020,26003,Álamos,1,0
03/06/2020,26003,Álamos,4,3
04/06/2020,26003,Álamos,4,0
05/06/2020,26003,Álamos,4,0
06/06/2020,26003,Álamos,4,0
07/06/2020,26003,Álamos,4,0
08/06/2020,26003,Álamos,4,0
09/06/2020,26003,Álamos,4,0
10/06/2020,26003,Álamos,4,0
11/06/2020,26003,Álamos,5,1
12/06/2020,26003,Álamos,5,0
13/06/2020,26003,Álamos,5,0
14/06/2020,26003,Álamos,5,0
15/06/2020,26003,Álamos,5,0
16/06/2020,26003,Álamos,5,0
17/06/2020,26003,Álamos,5,0
18/06/2020,26003,Álamos,7,2
19/06/2020,26003,Álamos,7,0
20/06/2020,26003,Álamos,7,0
21/06/2020,26003,Álamos,11,4
22/06/2020,26003,Álamos,12,1
23/06/2020,26003,Álamos,13,1
24/06/2020,26003,Álamos,13,0
25/06/2020,26003,Álamos,13,0
26/06/2020,26003,Álamos,13,0
27/06/2020,26003,Álamos,13,0
28/06/2020,26003,Álamos,19,6
29/06/2020,26003,Álamos,19,0
30/06/2020,26003,Álamos,20,1
01/07/2020,26003,Álamos,21,1
02/07/2020,26003,Álamos,21,0
03/07/2020,26003,Álamos,24,3
04/07/2020,26003,Álamos,26,2
05/07/2020,26003,Álamos,27,1
06/07/2020,26003,Álamos,27,0
07/07/2020,26003,Álamos,27,0
08/07/2020,26003,Álamos,27,0
09/07/2020,26003,Álamos,29,2
10/07/2020,26003,Álamos,29,0
16/03/2020,26004,Altar,0,0
17/03/2020,26004,Altar,0,0
18/03/2020,26004,Altar,0,0
19/03/2020,26004,Altar,0,0
20/03/2020,26004,Altar,0,0
21/03/2020,26004,Altar,0,0
22/03/2020,26004,Altar,0,0
23/03/2020,26004,Altar,0,0
24/03/2020,26004,Altar,0,0
25/03/2020,26004,Altar,0,0
26/03/2020,26004,Altar,0,0
27/03/2020,26004,Altar,0,0
28/03/2020,26004,Altar,0,0
29/03/2020,26004,Altar,0,0
30/03/2020,26004,Altar,0,0
31/03/2020,26004,Altar,0,0
01/04/2020,26004,Altar,0,0
02/04/2020,26004,Altar,0,0
03/04/2020,26004,Altar,0,0
04/04/2020,26004,Altar,0,0
05/04/2020,26004,Altar,0,0
06/04/2020,26004,Altar,0,0
07/04/2020,26004,Altar,0,0
08/04/2020,26004,Altar,0,0
09/04/2020,26004,Altar,0,0
10/04/2020,26004,Altar,0,0
11/04/2020,26004,Altar,0,0
12/04/2020,26004,Altar,0,0
13/04/2020,26004,Altar,0,0
14/04/2020,26004,Altar,0,0
15/04/2020,26004,Altar,0,0
16/04/2020,26004,Altar,0,0
17/04/2020,26004,Altar,0,0
18/04/2020,26004,Altar,0,0
19/04/2020,26004,Altar,0,0
20/04/2020,26004,Altar,0,0
21/04/2020,26004,Altar,0,0
22/04/2020,26004,Altar,0,0
23/04/2020,26004,Altar,0,0
24/04/2020,26004,Altar,0,0
25/04/2020,26004,Altar,0,0
26/04/2020,26004,Altar,0,0
27/04/2020,26004,Altar,0,0
28/04/2020,26004,Altar,0,0
29/04/2020,26004,Altar,0,0
30/04/2020,26004,Altar,0,0
01/05/2020,26004,Altar,0,0
02/05/2020,26004,Altar,0,0
03/05/2020,26004,Altar,0,0
04/05/2020,26004,Altar,0,0
05/05/2020,26004,Altar,0,0
06/05/2020,26004,Altar,0,0
07/05/2020,26004,Altar,0,0
08/05/2020,26004,Altar,0,0
09/05/2020,26004,Altar,1,1
10/05/2020,26004,Altar,2,1
11/05/2020,26004,Altar,2,0
12/05/2020,26004,Altar,2,0
13/05/2020,26004,Altar,2,0
14/05/2020,26004,Altar,3,1
15/05/2020,26004,Altar,3,0
16/05/2020,26004,Altar,3,0
17/05/2020,26004,Altar,4,1
18/05/2020,26004,Altar,4,0
19/05/2020,26004,Altar,6,2
20/05/2020,26004,Altar,6,0
21/05/2020,26004,Altar,6,0
22/05/2020,26004,Altar,6,0
23/05/2020,26004,Altar,6,0
24/05/2020,26004,Altar,6,0
25/05/2020,26004,Altar,8,2
26/05/2020,26004,Altar,9,1
27/05/2020,26004,Altar,9,0
28/05/2020,26004,Altar,9,0
29/05/2020,26004,Altar,9,0
30/05/2020,26004,Altar,9,0
31/05/2020,26004,Altar,9,0
01/06/2020,26004,Altar,11,2
02/06/2020,26004,Altar,11,0
03/06/2020,26004,Altar,11,0
04/06/2020,26004,Altar,11,0
05/06/2020,26004,Altar,13,2
06/06/2020,26004,Altar,15,2
07/06/2020,26004,Altar,15,0
08/06/2020,26004,Altar,15,0
09/06/2020,26004,Altar,15,0
10/06/2020,26004,Altar,16,1
11/06/2020,26004,Altar,16,0
12/06/2020,26004,Altar,16,0
13/06/2020,26004,Altar,16,0
14/06/2020,26004,Altar,16,0
15/06/2020,26004,Altar,16,0
16/06/2020,26004,Altar,16,0
17/06/2020,26004,Altar,17,1
18/06/2020,26004,Altar,22,5
19/06/2020,26004,Altar,22,0
20/06/2020,26004,Altar,22,0
21/06/2020,26004,Altar,22,0
22/06/2020,26004,Altar,22,0
23/06/2020,26004,Altar,22,0
24/06/2020,26004,Altar,22,0
25/06/2020,26004,Altar,22,0
26/06/2020,26004,Altar,22,0
27/06/2020,26004,Altar,22,0
28/06/2020,26004,Altar,22,0
29/06/2020,26004,Altar,22,0
30/06/2020,26004,Altar,22,0
01/07/2020,26004,Altar,22,0
02/07/2020,26004,Altar,22,0
03/07/2020,26004,Altar,23,1
04/07/2020,26004,Altar,26,3
05/07/2020,26004,Altar,26,0
06/07/2020,26004,Altar,26,0
07/07/2020,26004,Altar,28,2
08/07/2020,26004,Altar,29,1
09/07/2020,26004,Altar,30,1
10/07/2020,26004,Altar,31,1
16/03/2020,26006,Arizpe,0,0
17/03/2020,26006,Arizpe,0,0
18/03/2020,26006,Arizpe,0,0
19/03/2020,26006,Arizpe,0,0
20/03/2020,26006,Arizpe,0,0
21/03/2020,26006,Arizpe,0,0
22/03/2020,26006,Arizpe,0,0
23/03/2020,26006,Arizpe,0,0
24/03/2020,26006,Arizpe,0,0
25/03/2020,26006,Arizpe,0,0
26/03/2020,26006,Arizpe,0,0
27/03/2020,26006,Arizpe,0,0
28/03/2020,26006,Arizpe,0,0
29/03/2020,26006,Arizpe,0,0
30/03/2020,26006,Arizpe,0,0
31/03/2020,26006,Arizpe,0,0
01/04/2020,26006,Arizpe,0,0
02/04/2020,26006,Arizpe,0,0
03/04/2020,26006,Arizpe,0,0
04/04/2020,26006,Arizpe,0,0
